request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay 664.4 EUR in full today. The selected plan keeps the forecast above the 500 EUR minimum.
request_192,148.62,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 2046 USD while maintaining the 1000 USD minimum.
request_193,0,not_affordable,not_recommended,none,2024-05-15,none,Do not proceed by the requested deadline. The forecast cannot safely complete 1212.2 EUR while maintaining the 1000 EUR minimum.
request_194,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 132800 INR while maintaining the 113600 INR minimum.
request_195,41.78,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 1170.4 EUR while maintaining the 700 EUR minimum.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay 762.3 EUR in full today. The selected plan keeps the forecast above the 500 EUR minimum.
request_197,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 50939000 IDR while maintaining the 26245900 IDR minimum.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay 185800 INR in full today. The selected plan keeps the forecast above the 124300 INR minimum.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Use 3 supplied installments of 8206986.67 IDR. The selected plan keeps the forecast above the 25359500 IDR minimum.
request_200,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 21717000 IDR while maintaining the 20114600 IDR minimum.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay 23997000 IDR in full today. The selected plan keeps the forecast above the 17304500 IDR minimum.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay 123900 INR in full today. The selected plan keeps the forecast above the 147800 INR minimum.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Use 3 supplied installments of 499.93 EUR. The selected plan keeps the forecast above the 1400 EUR minimum.
request_204,491.1,affordable_with_plan,full_payment,2026-01-04:588.74,2026-02-15,reduce_to:event_18827:33|stop:event_18761,Use the full_payment plan. Required flexible-spending changes: reduce_to:event_18827:33|stop:event_18761. The selected plan keeps the forecast above the 1300 EUR minimum.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay 10621000 IDR in full today. The selected plan keeps the forecast above the 13994300 IDR minimum.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Use 3 supplied installments of 486.96 EUR. The selected plan keeps the forecast above the 900 EUR minimum.
request_207,3800.94,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Wait until 2026-07-15, then pay in full. The selected plan keeps the forecast above the 13600 ZAR minimum."
request_208,2667257.53,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Wait until 2024-06-15, then pay in full. The selected plan keeps the forecast above the 10470700 IDR minimum."
request_209,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 56914 ZAR while maintaining the 18400 ZAR minimum.
request_210,1098.4,affordable_with_plan,partial_payment,2026-04-06:1098.4|2026-04-15:261.62,2026-04-15,none,Pay 1098.4 USD today and the remainder on 2026-04-15. The selected plan keeps the forecast above the 2000 USD minimum.
request_211,181.26,affordable_later,wait,2024-11-15:1788.6,2024-11-15,none,"Wait until 2024-11-15, then pay in full. The selected plan keeps the forecast above the 1500 EUR minimum."
request_212,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 71934000 IDR while maintaining the 29579800 IDR minimum.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Use 3 supplied installments of 1165.63 USD. The selected plan keeps the forecast above the 2100 USD minimum.
request_214,44581.58,affordable_with_plan,partial_payment,2024-12-04:44581.58|2024-12-15:25168.42,2024-12-15,none,Pay 44581.58 INR today and the remainder on 2024-12-15. The selected plan keeps the forecast above the 174900 INR minimum.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Use 3 supplied installments of 10395.15 ZAR. The selected plan keeps the forecast above the 15700 ZAR minimum.
request_216,416.97,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 3332.4 USD while maintaining the 1800 USD minimum.
request_217,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 37180 ZAR while maintaining the 26800 ZAR minimum.
request_218,26111075.11,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,Use 3 supplied installments of 21195893.33 IDR. The selected plan keeps the forecast above the 34477200 IDR minimum.
request_219,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 1673.1 EUR while maintaining the 1100 EUR minimum.
request_220,33.07,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 3118.5 EUR while maintaining the 1100 EUR minimum.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay 109800 INR in full today. The selected plan keeps the forecast above the 81500 INR minimum.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay 34078 ZAR in full today. The selected plan keeps the forecast above the 27300 ZAR minimum.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay 898.7 EUR in full today. The selected plan keeps the forecast above the 800 EUR minimum.
request_224,8821362.69,not_affordable,not_recommended,none,2025-04-15,none,Do not proceed by the requested deadline. The forecast cannot safely complete 10327000 IDR while maintaining the 22187600 IDR minimum.
request_225,8720362.97,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 22059000 IDR while maintaining the 17670700 IDR minimum.
request_226,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 157000 INR while maintaining the 209400 INR minimum.
request_227,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 259700 INR while maintaining the 62900 INR minimum.
request_228,766176.39,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 63327000 IDR while maintaining the 26191200 IDR minimum.
request_229,395.19,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 1526.8 EUR while maintaining the 1000 EUR minimum.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,Pay 3537.6 EUR in full today. The selected plan keeps the forecast above the 2000 EUR minimum.
request_231,30982.04,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-02-15,none,Use 3 supplied installments of 12378.08 ZAR. The selected plan keeps the forecast above the 24300 ZAR minimum.
request_232,66.95,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 1970.1 EUR while maintaining the 2400 EUR minimum.
request_233,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 6241000 IDR while maintaining the 10365700 IDR minimum.
request_234,203.58,affordable_later,wait,2026-09-15:1213.3,2026-09-15,none,"Wait until 2026-09-15, then pay in full. The selected plan keeps the forecast above the 700 EUR minimum."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay 967.2 USD in full today. The selected plan keeps the forecast above the 700 USD minimum.
request_236,5676798.04,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 52383000 IDR while maintaining the 16768600 IDR minimum.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay 23826000 IDR in full today. The selected plan keeps the forecast above the 22431500 IDR minimum.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Use 3 supplied installments of 230.05 USD. The selected plan keeps the forecast above the 700 USD minimum.
request_239,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 642 USD while maintaining the 600 USD minimum.
request_240,7171.33,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 101200 INR while maintaining the 52800 INR minimum.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Use 3 supplied installments of 7298026.67 IDR. The selected plan keeps the forecast above the 19252000 IDR minimum.
request_242,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 1966.8 EUR while maintaining the 600 EUR minimum.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay 17468 ZAR in full today. The selected plan keeps the forecast above the 19900 ZAR minimum.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay 49918 ZAR in full today. The selected plan keeps the forecast above the 45900 ZAR minimum.
request_245,21229.31,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"Wait until 2026-01-15, then pay in full. The selected plan keeps the forecast above the 94600 INR minimum."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Use 3 supplied installments of 22216.48 ZAR. The selected plan keeps the forecast above the 39300 ZAR minimum.
request_247,1041.53,affordable_later,wait,2024-09-15:1059.3,2024-09-15,none,"Wait until 2024-09-15, then pay in full. The selected plan keeps the forecast above the 1300 EUR minimum."
request_248,915.06,affordable_with_plan,partial_payment,2025-02-07:915.06|2025-04-15:1050.54,2025-04-15,none,Pay 915.06 USD today and the remainder on 2025-04-15. The selected plan keeps the forecast above the 1300 USD minimum.
request_249,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 643.2 USD while maintaining the 600 USD minimum.
request_250,14843.44,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 124278 ZAR while maintaining the 35300 ZAR minimum.
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,Do not proceed by the requested deadline. The forecast cannot safely complete 1513.6 EUR while maintaining the 1300 EUR minimum.
request_252,4369241.05,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Wait until 2026-09-15, then pay in full. The selected plan keeps the forecast above the 15152200 IDR minimum."
request_253,1312.47,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 2840.2 EUR while maintaining the 2300 EUR minimum.
request_254,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 3535.2 USD while maintaining the 2500 USD minimum.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay 3345000 IDR in full today. The selected plan keeps the forecast above the 9813900 IDR minimum.
request_256,143725.18,not_affordable,not_recommended,none,2024-08-15,none,Do not proceed by the requested deadline. The forecast cannot safely complete 218700 INR while maintaining the 168600 INR minimum.
request_257,263.5,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 1352.4 USD while maintaining the 1600 USD minimum.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Pay 1113.6 USD in full today. The selected plan keeps the forecast above the 500 USD minimum.
request_259,206,affordable_later,wait,2024-11-15:935,2024-11-15,none,"Wait until 2024-11-15, then pay in full. The selected plan keeps the forecast above the 600 EUR minimum."
request_260,6141066.24,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 52079000 IDR while maintaining the 20727700 IDR minimum.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Pay 1830.4 EUR in full today. The selected plan keeps the forecast above the 1500 EUR minimum.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay 9236000 IDR in full today. The selected plan keeps the forecast above the 31018500 IDR minimum.
request_263,7288.07,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 51546 ZAR while maintaining the 24100 ZAR minimum.
request_264,22048.49,affordable_later,wait,2026-05-15:111300,2026-05-15,none,"Wait until 2026-05-15, then pay in full. The selected plan keeps the forecast above the 59500 INR minimum."
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay 45970 INR in full today. The selected plan keeps the forecast above the 189700 INR minimum.
request_266,757.72,not_affordable,not_recommended,none,2025-10-15,none,Do not proceed by the requested deadline. The forecast cannot safely complete 935 EUR while maintaining the 900 EUR minimum.
request_267,1651.51,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,none,Use 3 supplied installments of 667.33 EUR. The selected plan keeps the forecast above the 1500 EUR minimum.
request_268,1014.44,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,Use 3 supplied installments of 841.22 EUR. The selected plan keeps the forecast above the 1400 EUR minimum.
request_269,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 15490 ZAR while maintaining the 23100 ZAR minimum.
request_270,70.34,not_affordable,not_recommended,none,2026-09-15,none,Do not proceed by the requested deadline. The forecast cannot safely complete 3028.8 USD while maintaining the 1400 USD minimum.
request_271,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 91300 INR while maintaining the 58200 INR minimum.
request_272,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 13585000 IDR while maintaining the 7508600 IDR minimum.
request_273,9192347.08,affordable_with_plan,partial_payment,2026-04-07:9192347.08|2026-04-15:6668652.92,2026-04-15,none,Pay 9192347.08 IDR today and the remainder on 2026-04-15. The selected plan keeps the forecast above the 18774600 IDR minimum.
request_274,2122.46,not_affordable,not_recommended,none,2025-01-15,none,Do not proceed by the requested deadline. The forecast cannot safely complete 2713.7 EUR while maintaining the 1800 EUR minimum.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay 15884000 IDR in full today. The selected plan keeps the forecast above the 12760100 IDR minimum.
